"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"DO_5_2005",27,0.706874603275356,0.47965857294592,3.75888973015269e-05,0.685921589234579
"DO_5_2006",29,0.792157794421444,0.613718192420523,3.05427671951741e-07,0.411553176646098
"DO_5_2007",30,0.662054459856763,0.418255968809667,6.75287488383976e-05,0.950341540201188
"DO_5_2008",29,0.709473586354489,0.484958427873022,1.63753953132487e-05,0.871906597886957
"DO_5_2009",32,0.658791411148514,0.415139660849818,4.1392919026158e-05,0.774521997015623
"DO_5_2010",25,0.766215359279061,0.569133193177539,7.99607944033116e-06,0.906260160029267
"DO_5_2011",30,0.711318250423506,0.488329855292185,1.05129735115177e-05,0.173862332893509
"DO_5_2012",33,0.707225801184598,0.484044731727687,4.19410896460372e-06,0.645249676587884
"DO_5_2013",27,0.710345657952627,0.484774591923036,3.307986507767e-05,0.243241312131946
"DO_5_2014",30,0.468842099289397,0.191949089568448,0.00896501691338613,0.281663527970652
"DO_5_2015",33,0.659625364161283,0.416883221723774,2.97312662831253e-05,0.996818216732356
"DO_5_2016",30,0.559542847438166,0.288555633766325,0.00130518729262074,0.54806736723938
"DO_7_2005",25,0.0985842462439248,-0.0333368484095831,0.639190870439782,0.0125250375752135
"DO_7_2006",22,0.269361103135703,0.026183174076607,0.225424363576116,0.257375467319043
"DO_7_2007",28,0.485328552420844,0.206141642402409,0.00884739965061096,0.281942599172078
"DO_7_2008",30,0.670702376050142,0.430193165712139,4.99469345287242e-05,0.242314486228393
"DO_7_2009",25,0.677186917277276,0.435042213145914,0.00020073497176679,0.671983374663163
"DO_7_2010",27,0.675288935911132,0.434255752842549,0.000111285280976471,0.915613874172255
"DO_7_2011",29,0.662513007596376,0.41814287357641,9.02298893243373e-05,0.97317408243347
"DO_7_2012",28,0.596405160108013,0.330918311734366,0.00080933173038267,0.203300823551265
"DO_7_2013",25,0.784180260733802,0.598196884860383,3.50930065821323e-06,0.00924761601933991
"DO_7_2014",31,0.592893580672384,0.329161515175022,0.000440077492179762,0.902720009760458
"DO_7_2015",31,0.63957960637858,0.38868490299522,0.000107166867418655,0.474604576837318
"DO_7_2016",29,0.379492115447638,0.112311090341994,0.0423157296661845,0.544338273597629
