"spp","den","occ","month","year"
"act_hyp",0.05,1,5,2006
"ana_pla",1.13536627090377,91,5,2006
"ana_que",0.141464828355585,5,5,2006
"ana_str",0.96092059885747,71,5,2006
"ans_ans",0.55069888886977,15,5,2006
"ard_cin",0.213342525702394,28,5,2006
"ayt_fer",2.25486265135089,54,5,2006
"ayt_ful",1.75671527458768,70,5,2006
"buc_cla",0.501282730905362,20,5,2006
"cha_dub",0.285662711722765,4,5,2006
"cir_aer",0.133136368348726,3,5,2006
"cyg_olo",0.438242214397511,38,5,2006
"cas_alb",0.0769991693724987,3,5,2006
"ful_atr",0.79935035791928,46,5,2006
"hal_alb",0.03125,1,5,2006
"lar_rid",0.57006112498799,27,5,2006
"net_ruf",0.352785443882117,20,5,2006
"nyc_nyc",0.262329265562024,2,5,2006
"pha_car",0.131460861863306,11,5,2006
"pod_cri",0.544707151289636,36,5,2006
"pod_nig",0.116666666666667,2,5,2006
"ste_hir",0.218137254901961,2,5,2006
"tac_ruf",0.823759234233817,15,5,2006
"tri_gla",0.0294117647058824,1,5,2006
"tri_och",0.37037037037037,1,5,2006
"van_van",0.467194570135747,2,5,2006
"ana_cly",0.2,1,5,2006
