pond,month,year,transp
2324,5,2016,30
2324,7,2016,30
2339,7,2005,70
2339,5,2007,60
2339,5,2009,50
2339,7,2009,20
2339,5,2016,40
2339,7,2016,50
2901,5,2005,60
2901,7,2005,50
2901,5,2006,30
2901,7,2006,25
2901,5,2007,40
2901,7,2007,20
2901,7,2008,25
2901,5,2009,40
2901,7,2009,15
2901,7,2010,22
2901,5,2011,90
2901,7,2011,20
2901,5,2012,40
2901,7,2012,22
2901,5,2013,75
2901,7,2013,27
2901,5,2014,15
2901,7,2014,20
2901,5,2015,50
2901,7,2015,25
2901,5,2016,35
2901,7,2016,25
2902,5,2005,50
2902,7,2005,40
2902,5,2006,30
2902,7,2006,20
2902,5,2007,60
2902,7,2007,18
2902,7,2008,35
2902,5,2009,70
2902,7,2009,10
2902,7,2010,25
2902,5,2011,90
2902,7,2011,60
2902,5,2012,30
2902,7,2012,25
2902,5,2013,75
2902,7,2013,25
2902,5,2014,25
2902,7,2014,20
2902,5,2015,50
2902,7,2015,20
2902,5,2016,63
2902,7,2016,20
2903,5,2005,30
2903,7,2005,20
2903,5,2007,20
2903,5,2008,80
2903,7,2008,60
2903,5,2009,50
2903,7,2009,30
2903,5,2011,30
2903,7,2011,25
2903,5,2012,55
2903,7,2012,40
2903,5,2013,22
2903,7,2013,20
2903,5,2015,40
2903,7,2015,30
2903,5,2016,42
2903,7,2016,25
2904,5,2005,65
2904,5,2006,25
2904,5,2007,60
2904,7,2007,17
2904,7,2008,50
2904,5,2009,120
2904,7,2009,35
2904,7,2010,35
2904,5,2011,75
2904,7,2011,120
2904,5,2012,65
2904,7,2012,20
2904,5,2013,55
2904,7,2013,18
2904,5,2015,40
2904,7,2015,55
2904,5,2016,43
2904,7,2016,35
2905,5,2005,80
2905,7,2005,20
2905,5,2006,30
2905,5,2007,20
2905,7,2007,20
2905,5,2008,40
2905,7,2008,10
2905,5,2009,90
2905,7,2009,20
2905,7,2010,30
2905,5,2011,40
2905,7,2011,25
2905,5,2012,35
2905,7,2012,15
2905,5,2013,25
2905,7,2013,15
2905,5,2015,40
2905,7,2015,20
2905,5,2016,33
2905,7,2016,20
2906,5,2005,30
2906,5,2006,60
2906,7,2006,50
2906,5,2007,100
2906,7,2007,20
2906,5,2008,100
2906,7,2008,80
2906,5,2009,40
2906,7,2010,130
2906,5,2011,30
2906,7,2011,20
2906,5,2012,30
2906,7,2012,15
2906,5,2013,55
2906,7,2013,30
2906,5,2014,45
2906,7,2014,30
2906,5,2015,40
2906,7,2015,20
2906,5,2016,150
2907,5,2005,80
2907,7,2005,30
2907,5,2006,80
2907,5,2008,120
2907,7,2008,60
2907,5,2009,150
2907,7,2010,37
2907,5,2011,151
2907,7,2011,151
2907,5,2012,55
2907,7,2012,55
2907,5,2013,55
2907,7,2013,65
2907,5,2014,80
2907,7,2014,20
2907,5,2016,150
2907,7,2016,80
2908,5,2005,120
2908,7,2005,50
2908,5,2006,15
2908,5,2007,30
2908,7,2007,30
2908,5,2008,30
2908,7,2008,20
2908,5,2009,150
2908,7,2009,25
2908,5,2011,20
2908,7,2011,8
2908,5,2012,10
2908,7,2012,8
2908,5,2013,15
2908,7,2013,15
2908,5,2014,40
2908,7,2014,10
2908,5,2015,15
2908,7,2015,5
2908,5,2016,50
2908,7,2016,70
2910,7,2005,20
2910,5,2006,90
2910,7,2006,25
2910,5,2007,20
2910,7,2007,10
2910,5,2008,75
2910,7,2008,12
2910,5,2009,18
2910,7,2010,55
2910,5,2011,15
2910,7,2011,20
2910,5,2012,80
2910,7,2012,21
2910,5,2013,10
2910,7,2013,15
2910,5,2014,30
2910,7,2014,28
2910,5,2015,15
2910,7,2015,15
2911,5,2006,40
2911,7,2006,40
2911,5,2007,80
2911,7,2007,10
2911,5,2008,110
2911,7,2008,25
2911,5,2009,45
2911,7,2010,150
2911,5,2011,151
2911,7,2011,40
2911,5,2012,25
2911,7,2012,18
2911,5,2013,55
2911,7,2013,20
2911,5,2014,40
2911,7,2014,15
2911,5,2015,90
2911,7,2015,15
2912,5,2005,80
2912,7,2005,30
2912,5,2006,80
2912,5,2007,60
2912,7,2007,10
2912,5,2008,30
2912,7,2008,20
2912,5,2009,25
2912,7,2009,20
2912,7,2010,28
2912,5,2011,70
2912,7,2011,20
2912,5,2012,30
2912,7,2012,20
2912,5,2013,60
2912,7,2013,35
2912,5,2015,50
2912,7,2015,35
2912,5,2016,38
2912,7,2016,15
2913,7,2005,25
2913,7,2007,15
2913,5,2008,30
2913,7,2008,10
2913,5,2009,70
2913,7,2009,10
2913,7,2010,22
2913,5,2011,30
2913,7,2011,15
2913,5,2012,40
2913,7,2012,13
2913,5,2013,45
2913,7,2013,30
2913,5,2015,40
2913,7,2015,10
2913,5,2016,32
2913,7,2016,10
2914,5,2006,15
2914,5,2007,20
2914,7,2007,5
2914,5,2008,30
2914,7,2008,17
2914,5,2009,18
2914,7,2009,10
2914,7,2010,10
2914,5,2011,20
2914,7,2011,15
2914,5,2012,15
2914,7,2012,10
2914,5,2015,15
2914,7,2015,5
2914,5,2016,34
2914,7,2016,5
2915,5,2005,45
2915,5,2006,25
2915,5,2007,40
2915,7,2007,17
2915,5,2008,150
2915,7,2008,35
2915,7,2009,30
2915,7,2010,80
2915,5,2011,151
2915,7,2011,20
2915,5,2012,100
2915,7,2012,23
2915,5,2013,105
2915,7,2013,60
2915,5,2014,70
2915,7,2014,55
2915,5,2015,40
2915,7,2015,10
2915,5,2016,40
2915,7,2016,10
2916,5,2005,95
2916,7,2005,30
2916,5,2006,100
2916,7,2006,50
2916,7,2007,10
2916,5,2008,120
2916,7,2008,35
2916,5,2009,90
2916,7,2009,20
2916,7,2010,90
2916,5,2011,80
2916,7,2011,90
2916,5,2012,75
2916,7,2012,37
2916,5,2013,65
2916,7,2013,55
2916,5,2015,30
2916,7,2015,10
2916,5,2016,28
2916,7,2016,50
2917,5,2005,35
2917,5,2006,45
2917,5,2007,40
2917,7,2007,20
2917,5,2008,180
2917,7,2008,35
2917,5,2009,95
2917,7,2009,35
2917,5,2011,151
2917,7,2011,30
2917,5,2012,75
2917,7,2012,110
2917,5,2013,60
2917,7,2013,35
2917,5,2015,110
2917,7,2015,25
2917,5,2016,46
2917,7,2016,25
2918,5,2005,27
2918,7,2005,20
2918,5,2006,30
2918,5,2007,150
2918,7,2007,20
2918,5,2008,110
2918,7,2008,25
2918,5,2009,120
2918,7,2009,20
2918,7,2010,30
2918,5,2011,40
2918,7,2011,35
2918,5,2012,50
2918,7,2012,22
2918,5,2013,50
2918,7,2013,20
2918,5,2014,45
2918,7,2014,25
2918,5,2015,40
2918,7,2015,10
2918,5,2016,25
2918,7,2016,10
2919,5,2005,60
2919,7,2005,45
2919,5,2006,20
2919,5,2007,100
2919,7,2007,30
2919,5,2008,80
2919,7,2008,20
2919,5,2009,180
2919,7,2009,50
2919,5,2011,151
2919,7,2011,60
2919,5,2012,72
2919,7,2012,30
2919,5,2013,110
2919,7,2013,25
2919,5,2014,45
2919,7,2014,30
2919,5,2015,100
2919,7,2015,15
2919,5,2016,30
2919,7,2016,15
2920,7,2005,25
2920,5,2006,35
2920,5,2007,100
2920,5,2009,110
2920,7,2009,20
2920,7,2010,130
2920,5,2011,30
2920,7,2011,20
2920,5,2012,120
2920,7,2012,50
2920,5,2013,40
2920,7,2013,15
2920,5,2014,50
2920,7,2014,20
2920,5,2015,120
2920,7,2015,15
2920,5,2016,45
2920,7,2016,50
2921,5,2005,35
2921,7,2005,20
2921,5,2006,25
2921,7,2006,20
2921,5,2007,20
2921,7,2007,15
2921,5,2008,160
2921,7,2008,20
2921,5,2009,25
2921,7,2009,30
2921,5,2011,30
2921,7,2011,20
2921,5,2012,60
2921,7,2012,18
2921,5,2013,30
2921,7,2013,15
2921,5,2014,105
2921,7,2014,40
2921,5,2015,80
2921,7,2015,15
2921,5,2016,28
2921,7,2016,30
2922,5,2005,28
2922,7,2005,20
2922,5,2006,80
2922,7,2006,20
2922,5,2007,22
2922,7,2007,20
2922,5,2008,80
2922,7,2008,20
2922,5,2009,60
2922,7,2009,20
2922,7,2010,30
2922,5,2011,20
2922,7,2011,20
2922,5,2012,82
2922,7,2012,65
2922,5,2013,105
2922,7,2013,20
2922,5,2014,100
2922,7,2014,35
2922,5,2015,90
2922,7,2015,15
2922,5,2016,54
2922,7,2016,25
2923,5,2006,60
2923,5,2007,160
2923,7,2007,20
2923,5,2008,160
2923,5,2009,50
2923,7,2009,30
2923,5,2011,30
2923,7,2011,20
2923,5,2012,28
2923,7,2012,18
2923,5,2013,35
2923,7,2013,35
2923,5,2015,35
2923,7,2015,20
2923,5,2016,117
2923,7,2016,45
2924,5,2005,40
2924,7,2005,10
2924,5,2006,120
2924,5,2007,85
2924,7,2007,20
2924,5,2008,160
2924,7,2008,25
2924,5,2009,70
2924,7,2010,22
2924,5,2011,70
2924,7,2011,28
2924,5,2012,100
2924,7,2012,12
2924,5,2013,110
2924,7,2013,35
2924,5,2014,18
2924,7,2014,10
2924,5,2015,40
2924,7,2015,15
2924,5,2016,22
2924,7,2016,40
2925,5,2005,150
2925,5,2007,40
2925,7,2007,20
2925,7,2016,25
3002,7,2006,20
3002,5,2007,40
3002,7,2007,22
3002,5,2008,40
3002,7,2008,35
3002,5,2009,28
3002,7,2009,20
3002,7,2010,20
3002,5,2011,40
3002,7,2011,25
3002,5,2012,45
3002,7,2012,20
3002,5,2013,85
3002,7,2013,20
3002,5,2014,45
3002,7,2014,40
3002,5,2015,80
3002,7,2015,20
3002,5,2016,50
3002,7,2016,20
3003,5,2005,100
3003,7,2005,20
3003,7,2006,17
3003,5,2007,20
3003,7,2007,10
3003,5,2008,70
3003,5,2009,35
3003,7,2009,18
3003,7,2010,20
3003,5,2011,50
3003,7,2011,30
3003,5,2012,45
3003,7,2012,28
3003,5,2013,25
3003,7,2013,30
3003,5,2014,25
3003,7,2014,25
3003,5,2015,20
3003,7,2015,20
3003,7,2016,33
3005,7,2005,110
3005,7,2006,30
3005,5,2007,80
3005,7,2007,30
3005,5,2008,200
3005,7,2008,40
3005,5,2009,160
3005,7,2009,25
3005,7,2010,35
3005,5,2011,30
3005,7,2011,25
3005,5,2012,30
3005,7,2012,65
3005,5,2013,115
3005,7,2013,130
3005,5,2014,60
3005,7,2014,40
3005,5,2015,230
3005,7,2015,35
3005,5,2016,200
3005,7,2016,43
3006,7,2005,110
3006,7,2006,35
3006,5,2007,50
3006,7,2007,30
3006,5,2008,80
3006,7,2008,80
3006,5,2009,150
3006,7,2009,50
3006,7,2010,70
3006,5,2011,151
3006,7,2011,50
3006,5,2012,40
3006,7,2012,65
3006,5,2013,110
3006,7,2013,100
3006,5,2014,120
3006,7,2014,40
3006,5,2015,130
3006,7,2015,45
3006,5,2016,230
3006,7,2016,38
3007,7,2005,95
3007,7,2006,52
3007,5,2007,40
