year,month,temp
2005,5,12.6
2005,7,17.4
2006,5,12.1
2006,7,20.3
2007,5,13.5
2007,7,17.8
2008,5,13.2
2008,7,17.4
2009,5,12.8
2009,7,17.5
2010,5,11.2
2010,7,19.3
2011,5,12.8
2011,7,15.7
2012,5,13.5
2012,7,17.2
2013,5,11.2
2013,7,18.8
2014,5,11.3
2014,7,18.3
2015,5,12
2015,7,20
2016,5,12.5
2016,7,18.1
