"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"DO_5_2005",27,0.706874603275356,0.47965857294592,3.75888973015269e-05,0.685921589234579
"DO_5_2006",31,0.804283212896954,0.634694641256394,5.00330713074178e-08,0.382642629206033
"DO_5_2007",33,0.668753921626899,0.4294005756814,2.09831628020201e-05,0.964183999899564
"DO_5_2008",31,0.637056522066149,0.385352771352088,0.000116354437007644,0.763136150301544
"DO_5_2009",34,0.617079869365689,0.361437176588138,0.000101445608416949,0.78176914875545
"DO_5_2010",26,0.746313394291437,0.538524669269588,1.19941160577379e-05,0.804671326671012
"DO_5_2011",32,0.721867085214321,0.505128491673015,3.11425710533857e-06,0.089292629735523
"DO_5_2012",35,0.722085048378648,0.506903993367509,9.76094422329618e-07,0.520484157185148
"DO_5_2013",29,0.725108798733785,0.508219168890084,8.60757989070782e-06,0.207129978424774
"DO_5_2014",31,0.475727327397464,0.199637748309724,0.00683149685694179,0.274270600327382
"DO_5_2015",35,0.680597049895755,0.446946051730647,6.83665274269251e-06,0.945378971585967
"DO_5_2016",31,0.57512697471134,0.307694176248915,0.00071306083397271,0.555965084246719
"DO_7_2005",27,0.16953693693533,-0.0101075160951694,0.39788775952504,0.00920992947598282
"DO_7_2006",23,0.311678039690611,0.0541500194932574,0.147687094647774,0.370962459120473
"DO_7_2007",29,0.446897761834675,0.170077520997021,0.0150802625960607,0.226268412525836
"DO_7_2008",31,0.651371767126524,0.404432943802963,7.22443686776477e-05,0.446767170917254
"DO_7_2009",26,0.660663335748631,0.412995878335946,0.000239199399615551,0.478172725384552
"DO_7_2010",28,0.673852650149227,0.433080370809796,8.45940849622283e-05,0.941379333466485
"DO_7_2011",30,0.673422021955041,0.433979263213088,4.53354096719477e-05,0.967239592427081
"DO_7_2012",29,0.611631694994327,0.350911601815027,0.000422943320291534,0.200830321421777
"DO_7_2013",25,0.784180260733802,0.598196884860383,3.50930065821323e-06,0.00924761601933991
"DO_7_2014",31,0.592893580672384,0.329161515175022,0.000440077492179762,0.902720009760458
"DO_7_2015",33,0.666333012114961,0.426064188938525,2.30413603011912e-05,0.254397673544163
"DO_7_2016",29,0.379492115447638,0.112311090341994,0.0423157296661845,0.544338273597629
