"spp","abu","occ","month","year"
"ana_cre",5,1,7,2015
"ana_pla",54.9666666666667,60,7,2015
"ana_str",11.0357142857143,28,7,2015
"ans_ans",38.2083333333333,24,7,2015
"ard_cin",6.43333333333333,60,7,2015
"ayt_fer",52.1944444444444,36,7,2015
"ayt_ful",11.2884615384615,52,7,2015
"buc_cla",4,4,7,2015
"cha_dub",1,1,7,2015
"cic_nig",3.5,4,7,2015
"cir_aer",1,1,7,2015
"cyg_olo",22.9666666666667,30,7,2015
"cas_alb",7.88235294117647,17,7,2015
"ful_atr",49.5333333333333,30,7,2015
"gal_chl",1,1,7,2015
"hal_alb",1.25,4,7,2015
"lar_cac",6.66666666666667,3,7,2015
"lar_rid",26.3030303030303,33,7,2015
"net_ruf",18.8181818181818,11,7,2015
"nyc_nyc",9.83333333333333,6,7,2015
"pha_car",25.5,4,7,2015
"pod_cri",10.4838709677419,31,7,2015
"pod_nig",1,1,7,2015
"ste_hir",3.19047619047619,21,7,2015
"tac_ruf",4.875,24,7,2015
"tri_och",7.75,4,7,2015
"van_van",18.75,8,7,2015
"ana_cly",2,1,7,2015
