"spp","abu","occ","month","year"
"ana_pla",12.2043010752688,93,5,2014
"ana_str",10.64,50,5,2014
"ans_ans",6.33333333333333,12,5,2014
"ard_cin",2.64705882352941,51,5,2014
"ayt_fer",16.1794871794872,39,5,2014
"ayt_ful",10.8378378378378,37,5,2014
"buc_cla",2.69230769230769,13,5,2014
"cyg_olo",3.42105263157895,38,5,2014
"cas_alb",1.44444444444444,9,5,2014
"ful_atr",7.66666666666667,24,5,2014
"lar_rid",62.1304347826087,23,5,2014
"net_ruf",4.06666666666667,15,5,2014
"nyc_nyc",6,2,5,2014
"pha_car",10.2,5,5,2014
"pod_cri",9,28,5,2014
"ste_hir",3.85714285714286,21,5,2014
"tac_ruf",2.7,10,5,2014
"van_van",4,6,5,2014
