"spp","den","occ","month","year"
"ana_pla",1.19042740617431,86,5,2009
"ana_str",1.14576929419306,70,5,2009
"ans_ans",1.1373575437236,22,5,2009
"ard_cin",0.369953966312789,50,5,2009
"ayt_fer",1.15857400297382,44,5,2009
"ayt_ful",0.953365944458714,48,5,2009
"buc_cla",0.673042683632407,18,5,2009
"cyg_olo",0.353910096945533,37,5,2009
"cas_alb",0.154798238635784,4,5,2009
"ful_atr",0.927342342671693,37,5,2009
"lar_rid",2.41147909356101,35,5,2009
"net_ruf",0.344283449961267,13,5,2009
"nyc_nyc",0.127058813824203,4,5,2009
"pha_car",0.624817619589654,14,5,2009
"pod_cri",0.632439438939108,39,5,2009
"ste_hir",0.295020257387888,8,5,2009
"tac_ruf",0.218536673045642,9,5,2009
"van_van",0.189494213377617,7,5,2009
