"Model","n_spp","lm_slope","adj_r_sq","p_value","shapiro_pv"
"AO_5_2005",18,0.565221732431668,0.276942832238872,0.0145095726984261,0.207530517088272
"AO_5_2006",18,0.626893080101181,0.355057117246168,0.00536464740069702,0.0586278846024415
"AO_5_2007",17,0.102883037619111,-0.0553760859416155,0.694369661049008,0.274677035889763
"AO_5_2008",18,0.254001263553276,0.00604893200457723,0.309116635525402,0.419222490307139
"AO_5_2009",18,0.609794160270138,0.332589475268286,0.00721034409007087,0.585581558201531
"AO_5_2010",16,0.432991470853606,0.129444586248538,0.0938811267758128,0.454743208563237
"AO_5_2011",18,0.488718415609078,0.191273545365163,0.0395861255545861,0.267180188745333
"AO_5_2012",18,0.379346458315123,0.0903977189009919,0.120521837228777,0.703988060407833
"AO_5_2013",17,0.32088886332893,0.0431676401157682,0.209182349700132,0.37474415222074
"AO_5_2014",18,0.284704211749115,0.0236225186994151,0.252177161851242,0.914536382574291
"AO_5_2015",18,0.578584640989715,0.293182698463523,0.0118840314119328,0.891035980710646
"AO_5_2016",18,0.318163291038027,0.045054622249408,0.198200964587328,0.363478411274128
"AO_7_2005",18,0.638370441916497,0.370486622432206,0.00435683586073547,0.537428845600276
"AO_7_2006",17,0.609287305393794,0.329313088548299,0.00942332144203637,0.647866037865252
"AO_7_2007",18,0.271365413266762,0.0157416367372807,0.276041431849567,0.402224436997213
"AO_7_2008",17,0.151747853187209,-0.0421040949899447,0.56097158207625,0.137701875142961
"AO_7_2009",17,0.603747398050667,0.322144982029813,0.0102775783699421,0.907837601154029
"AO_7_2010",17,0.457589120493688,0.156680323407133,0.06476107759268,0.333160051632956
"AO_7_2011",18,0.531279945021275,0.237399528730672,0.0232766422629144,0.996547387173337
"AO_7_2012",18,0.0719329633635802,-0.0570022518305922,0.776683753627692,0.158893687369765
"AO_7_2013",18,0.309418783482305,0.039223732544899,0.211500589623516,0.681388577762029
"AO_7_2014",18,0.492869057127192,0.195602401690538,0.03769147534146,0.973514919992631
"AO_7_2015",18,0.240930547335177,-0.000824500820820528,0.335503757857368,0.185522638368216
"AO_7_2016",18,0.38597149687208,0.0957848711725284,0.113649534199426,0.404184719257513
